input_prompt,enhanced_prompt
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Photoreal style, muted tones, vibrant colors, 8k resolution, intricate textures, volumetric lighting"
a wizard in stellar nebula,"(wizard:1.25) in stellar nebula, Impressionist style, ray traced, sharp focus, hyper detailed, ethereal atmosphere"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Impressionist style, muted tones, soft bokeh, ethereal atmosphere, hyper detailed, octane render"
a goddess in volcano,"(goddess:1.25) in volcano, Steampunk style, majestic scale, intricate textures, sharp focus, 8k resolution"
a cat in dreamscape,"(cat:1.25) in dreamscape, Cinematic style, muted tones, majestic scale, octane render, sharp focus, masterpiece quality"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Vaporwave style, sharp focus, octane render, ethereal atmosphere, 8k resolution, masterpiece quality"
a nomad in underwater city,"(nomad:1.25) in underwater city, Photoreal style, soft bokeh, dramatic shadows, ethereal atmosphere, octane render, 8k resolution"
a forest spirit in medieval village,"(forest spirit:1.25) in medieval village, Renaissance style, ethereal atmosphere, dramatic shadows, volumetric lighting"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Dark Fantasy style, sharp focus, masterpiece quality, soft bokeh, muted tones, hyper detailed"
a dragon in ancient ruins,"(dragon:1.25) in ancient ruins, Steampunk style, ethereal atmosphere, hyper detailed, octane render, masterpiece quality, soft bokeh"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Photoreal style, ethereal atmosphere, sharp focus, muted tones, soft bokeh, majestic scale"
a old man in desert oasis,"(old man:1.25) in desert oasis, Steampunk style, unreal engine 5, hyper detailed, masterpiece quality, octane render"
a samurai in mars base,"(samurai:1.25) in mars base, Dark Fantasy style, dramatic shadows, hyper detailed, vibrant colors, majestic scale, intricate textures"
a astronaut in space station,"(astronaut:1.25) in space station, Anime style, ethereal atmosphere, dramatic shadows, ray traced, hyper detailed"
a mechanic in deep forest,"(mechanic:1.25) in deep forest, Cyberpunk style, masterpiece quality, octane render, intricate textures"
a wizard in mars base,"(wizard:1.25) in mars base, Cyberpunk style, volumetric lighting, ray traced, vibrant colors"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Cyberpunk style, ray traced, sharp focus, unreal engine 5"
a monk in stellar nebula,"(monk:1.25) in stellar nebula, Cyberpunk style, dramatic shadows, sharp focus, muted tones, hyper detailed"
a mechanic in cybernetic lab,"(mechanic:1.25) in cybernetic lab, Cinematic style, vibrant colors, majestic scale, ethereal atmosphere"
a angel in frozen tundra,"(angel:1.25) in frozen tundra, Anime style, masterpiece quality, intricate textures, octane render, volumetric lighting"
a explorer in mountain temple,"(explorer:1.25) in mountain temple, Photoreal style, dramatic shadows, octane render, muted tones, intricate textures"
a cat in desert oasis,"(cat:1.25) in desert oasis, Anime style, soft bokeh, ray traced, octane render, 8k resolution"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Photoreal style, octane render, intricate textures, ray traced"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Vaporwave style, majestic scale, soft bokeh, masterpiece quality, 8k resolution"
a demon in desert oasis,"(demon:1.25) in desert oasis, Minimalist style, unreal engine 5, masterpiece quality, intricate textures"
a angel in neon city,"(angel:1.25) in neon city, Anime style, ray traced, ethereal atmosphere, vibrant colors, unreal engine 5"
a explorer in mars base,"(explorer:1.25) in mars base, Photoreal style, ray traced, unreal engine 5, vibrant colors"
a dragon in stellar nebula,"(dragon:1.25) in stellar nebula, Vaporwave style, vibrant colors, masterpiece quality, sharp focus, ethereal atmosphere, muted tones"
a scientist in desert oasis,"(scientist:1.25) in desert oasis, Cyberpunk style, dramatic shadows, masterpiece quality, majestic scale, ray traced, vibrant colors"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Cyberpunk style, intricate textures, volumetric lighting, vibrant colors"
a goddess in stellar nebula,"(goddess:1.25) in stellar nebula, Renaissance style, dramatic shadows, muted tones, octane render, unreal engine 5, volumetric lighting"
a cat in stellar nebula,"(cat:1.25) in stellar nebula, Renaissance style, hyper detailed, masterpiece quality, unreal engine 5, sharp focus"
a samurai in dreamscape,"(samurai:1.25) in dreamscape, Renaissance style, 8k resolution, dramatic shadows, masterpiece quality, octane render, majestic scale"
a robot in mars base,"(robot:1.25) in mars base, Dark Fantasy style, vibrant colors, octane render, sharp focus"
a explorer in stellar nebula,"(explorer:1.25) in stellar nebula, Anime style, soft bokeh, muted tones, octane render, ethereal atmosphere"
a nomad in desert oasis,"(nomad:1.25) in desert oasis, Renaissance style, unreal engine 5, volumetric lighting, soft bokeh, vibrant colors"
a warrior in neon city,"(warrior:1.25) in neon city, Impressionist style, unreal engine 5, sharp focus, vibrant colors"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Cinematic style, muted tones, 8k resolution, unreal engine 5"
a demon in medieval village,"(demon:1.25) in medieval village, Cyberpunk style, muted tones, vibrant colors, hyper detailed, soft bokeh, 8k resolution"
a old man in mountain temple,"(old man:1.25) in mountain temple, Steampunk style, hyper detailed, ethereal atmosphere, masterpiece quality"
a cat in volcano,"(cat:1.25) in volcano, Steampunk style, sharp focus, hyper detailed, soft bokeh, vibrant colors"
a samurai in desert oasis,"(samurai:1.25) in desert oasis, Anime style, 8k resolution, octane render, vibrant colors, intricate textures, soft bokeh"
a dragon in cybernetic lab,"(dragon:1.25) in cybernetic lab, Minimalist style, masterpiece quality, sharp focus, unreal engine 5, volumetric lighting"
a demon in space station,"(demon:1.25) in space station, Cyberpunk style, octane render, ethereal atmosphere, majestic scale, dramatic shadows"
a scientist in ancient ruins,"(scientist:1.25) in ancient ruins, Photoreal style, 8k resolution, ethereal atmosphere, majestic scale, intricate textures"
a monk in frozen tundra,"(monk:1.25) in frozen tundra, Photoreal style, volumetric lighting, majestic scale, 8k resolution, muted tones"
a warrior in volcano,"(warrior:1.25) in volcano, Minimalist style, ethereal atmosphere, sharp focus, soft bokeh, intricate textures, volumetric lighting"
a astronaut in frozen tundra,"(astronaut:1.25) in frozen tundra, Cyberpunk style, unreal engine 5, dramatic shadows, 8k resolution, muted tones"
a demon in medieval village,"(demon:1.25) in medieval village, Impressionist style, dramatic shadows, ethereal atmosphere, intricate textures, octane render"
a astronaut in deep forest,"(astronaut:1.25) in deep forest, Renaissance style, muted tones, hyper detailed, octane render, volumetric lighting"
a warrior in floating island,"(warrior:1.25) in floating island, Photoreal style, majestic scale, vibrant colors, soft bokeh, sharp focus"
a demon in volcano,"(demon:1.25) in volcano, Renaissance style, ray traced, ethereal atmosphere, intricate textures, muted tones, sharp focus"
a forest spirit in neon city,"(forest spirit:1.25) in neon city, Minimalist style, unreal engine 5, 8k resolution, intricate textures"
a cyberpunk girl in volcano,"(cyberpunk girl:1.25) in volcano, Anime style, 8k resolution, muted tones, masterpiece quality"
a angel in underwater city,"(angel:1.25) in underwater city, Steampunk style, masterpiece quality, muted tones, 8k resolution, hyper detailed"
a cat in floating island,"(cat:1.25) in floating island, Cinematic style, soft bokeh, 8k resolution, hyper detailed, intricate textures"
a old man in floating island,"(old man:1.25) in floating island, Impressionist style, sharp focus, muted tones, volumetric lighting, dramatic shadows, ethereal atmosphere"
a cyberpunk girl in cybernetic lab,"(cyberpunk girl:1.25) in cybernetic lab, Vaporwave style, masterpiece quality, unreal engine 5, ethereal atmosphere"
a samurai in mountain temple,"(samurai:1.25) in mountain temple, Vaporwave style, intricate textures, vibrant colors, ray traced"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Vaporwave style, ray traced, unreal engine 5, ethereal atmosphere, muted tones"
a robot in medieval village,"(robot:1.25) in medieval village, Renaissance style, ray traced, dramatic shadows, vibrant colors"
a scientist in deep forest,"(scientist:1.25) in deep forest, Steampunk style, 8k resolution, masterpiece quality, dramatic shadows, vibrant colors"
a dragon in frozen tundra,"(dragon:1.25) in frozen tundra, Vaporwave style, vibrant colors, masterpiece quality, majestic scale"
a explorer in deep forest,"(explorer:1.25) in deep forest, Cyberpunk style, volumetric lighting, masterpiece quality, intricate textures, ethereal atmosphere, majestic scale"
a old man in mountain temple,"(old man:1.25) in mountain temple, Minimalist style, muted tones, octane render, intricate textures"
a cyberpunk girl in cybernetic lab,"(cyberpunk girl:1.25) in cybernetic lab, Steampunk style, masterpiece quality, ethereal atmosphere, hyper detailed, unreal engine 5"
a robot in stellar nebula,"(robot:1.25) in stellar nebula, Cinematic style, soft bokeh, sharp focus, ethereal atmosphere"
a angel in dreamscape,"(angel:1.25) in dreamscape, Photoreal style, muted tones, ray traced, sharp focus, hyper detailed"
a wizard in volcano,"(wizard:1.25) in volcano, Cinematic style, muted tones, unreal engine 5, masterpiece quality, sharp focus, intricate textures"
a robot in dreamscape,"(robot:1.25) in dreamscape, Dark Fantasy style, unreal engine 5, volumetric lighting, hyper detailed"
a old man in desert oasis,"(old man:1.25) in desert oasis, Anime style, intricate textures, majestic scale, masterpiece quality"
a goddess in deep forest,"(goddess:1.25) in deep forest, Steampunk style, ray traced, vibrant colors, octane render, intricate textures"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Minimalist style, intricate textures, majestic scale, ray traced, soft bokeh"
a mechanic in volcano,"(mechanic:1.25) in volcano, Anime style, soft bokeh, muted tones, octane render, sharp focus, vibrant colors"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Minimalist style, ethereal atmosphere, ray traced, volumetric lighting"
a explorer in dreamscape,"(explorer:1.25) in dreamscape, Dark Fantasy style, hyper detailed, volumetric lighting, octane render, muted tones, sharp focus"
a cyberpunk girl in frozen tundra,"(cyberpunk girl:1.25) in frozen tundra, Renaissance style, unreal engine 5, intricate textures, dramatic shadows, soft bokeh, sharp focus"
a warrior in underwater city,"(warrior:1.25) in underwater city, Cyberpunk style, unreal engine 5, soft bokeh, ethereal atmosphere, volumetric lighting"
a scientist in volcano,"(scientist:1.25) in volcano, Steampunk style, muted tones, unreal engine 5, dramatic shadows"
a astronaut in underwater city,"(astronaut:1.25) in underwater city, Vaporwave style, vibrant colors, muted tones, 8k resolution"
a demon in underwater city,"(demon:1.25) in underwater city, Minimalist style, soft bokeh, octane render, hyper detailed"
a cat in mars base,"(cat:1.25) in mars base, Minimalist style, ethereal atmosphere, octane render, dramatic shadows, masterpiece quality, volumetric lighting"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Vaporwave style, masterpiece quality, volumetric lighting, sharp focus, soft bokeh"
a wizard in medieval village,"(wizard:1.25) in medieval village, Dark Fantasy style, dramatic shadows, octane render, vibrant colors, volumetric lighting, sharp focus"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Anime style, octane render, majestic scale, soft bokeh, intricate textures, hyper detailed"
a explorer in mars base,"(explorer:1.25) in mars base, Impressionist style, intricate textures, vibrant colors, unreal engine 5"
a monk in neon city,"(monk:1.25) in neon city, Photoreal style, intricate textures, volumetric lighting, hyper detailed, octane render"
a monk in medieval village,"(monk:1.25) in medieval village, Minimalist style, dramatic shadows, hyper detailed, muted tones, sharp focus, volumetric lighting"
a demon in mountain temple,"(demon:1.25) in mountain temple, Anime style, 8k resolution, sharp focus, octane render"
a monk in floating island,"(monk:1.25) in floating island, Impressionist style, masterpiece quality, soft bokeh, unreal engine 5"
a explorer in floating island,"(explorer:1.25) in floating island, Cinematic style, masterpiece quality, octane render, soft bokeh, 8k resolution, unreal engine 5"
a demon in space station,"(demon:1.25) in space station, Steampunk style, 8k resolution, vibrant colors, ray traced"
a wizard in underwater city,"(wizard:1.25) in underwater city, Photoreal style, soft bokeh, ethereal atmosphere, octane render"
a demon in mountain temple,"(demon:1.25) in mountain temple, Cinematic style, ethereal atmosphere, hyper detailed, vibrant colors, majestic scale, octane render"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Minimalist style, unreal engine 5, 8k resolution, ethereal atmosphere, volumetric lighting, octane render"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Renaissance style, intricate textures, masterpiece quality, volumetric lighting"
a astronaut in cybernetic lab,"(astronaut:1.25) in cybernetic lab, Minimalist style, hyper detailed, vibrant colors, majestic scale, muted tones"
a forest spirit in ancient ruins,"(forest spirit:1.25) in ancient ruins, Anime style, octane render, muted tones, 8k resolution, ethereal atmosphere"
a demon in medieval village,"(demon:1.25) in medieval village, Impressionist style, hyper detailed, majestic scale, sharp focus, masterpiece quality, ray traced"
a old man in underwater city,"(old man:1.25) in underwater city, Dark Fantasy style, soft bokeh, masterpiece quality, sharp focus"
a nomad in underwater city,"(nomad:1.25) in underwater city, Photoreal style, majestic scale, masterpiece quality, sharp focus"
a angel in ancient ruins,"(angel:1.25) in ancient ruins, Vaporwave style, intricate textures, volumetric lighting, dramatic shadows"
a old man in neon city,"(old man:1.25) in neon city, Cyberpunk style, unreal engine 5, majestic scale, muted tones"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Steampunk style, masterpiece quality, majestic scale, dramatic shadows, muted tones"
a old man in stellar nebula,"(old man:1.25) in stellar nebula, Minimalist style, volumetric lighting, majestic scale, soft bokeh"
a cyberpunk girl in mars base,"(cyberpunk girl:1.25) in mars base, Photoreal style, unreal engine 5, ray traced, sharp focus"
a wizard in frozen tundra,"(wizard:1.25) in frozen tundra, Cyberpunk style, soft bokeh, 8k resolution, hyper detailed, sharp focus, vibrant colors"
a forest spirit in medieval village,"(forest spirit:1.25) in medieval village, Photoreal style, ethereal atmosphere, intricate textures, octane render, dramatic shadows"
a mechanic in medieval village,"(mechanic:1.25) in medieval village, Impressionist style, masterpiece quality, majestic scale, intricate textures, muted tones"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Impressionist style, sharp focus, vibrant colors, octane render"
a astronaut in cybernetic lab,"(astronaut:1.25) in cybernetic lab, Dark Fantasy style, octane render, 8k resolution, unreal engine 5, hyper detailed"
a demon in ancient ruins,"(demon:1.25) in ancient ruins, Minimalist style, vibrant colors, hyper detailed, volumetric lighting, soft bokeh"
a demon in underwater city,"(demon:1.25) in underwater city, Impressionist style, sharp focus, intricate textures, volumetric lighting, vibrant colors, soft bokeh"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Impressionist style, sharp focus, octane render, vibrant colors"
a wizard in medieval village,"(wizard:1.25) in medieval village, Renaissance style, soft bokeh, ray traced, majestic scale"
a angel in deep forest,"(angel:1.25) in deep forest, Dark Fantasy style, hyper detailed, sharp focus, volumetric lighting"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Cyberpunk style, dramatic shadows, ray traced, hyper detailed, octane render, ethereal atmosphere"
a samurai in deep forest,"(samurai:1.25) in deep forest, Cyberpunk style, ethereal atmosphere, dramatic shadows, ray traced, hyper detailed, 8k resolution"
a demon in space station,"(demon:1.25) in space station, Cyberpunk style, majestic scale, 8k resolution, muted tones, ray traced"
a monk in ancient ruins,"(monk:1.25) in ancient ruins, Anime style, unreal engine 5, dramatic shadows, ethereal atmosphere"
a goddess in volcano,"(goddess:1.25) in volcano, Steampunk style, vibrant colors, masterpiece quality, unreal engine 5, 8k resolution, dramatic shadows"
a goddess in space station,"(goddess:1.25) in space station, Photoreal style, ray traced, hyper detailed, 8k resolution, octane render"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Cinematic style, sharp focus, dramatic shadows, majestic scale"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Photoreal style, octane render, 8k resolution, majestic scale"
a mechanic in underwater city,"(mechanic:1.25) in underwater city, Minimalist style, volumetric lighting, majestic scale, unreal engine 5"
a monk in floating island,"(monk:1.25) in floating island, Renaissance style, intricate textures, unreal engine 5, vibrant colors"
a explorer in stellar nebula,"(explorer:1.25) in stellar nebula, Steampunk style, muted tones, unreal engine 5, hyper detailed"
a forest spirit in deep forest,"(forest spirit:1.25) in deep forest, Vaporwave style, muted tones, masterpiece quality, soft bokeh, octane render, vibrant colors"
a old man in cybernetic lab,"(old man:1.25) in cybernetic lab, Renaissance style, soft bokeh, majestic scale, octane render, vibrant colors, hyper detailed"
a scientist in ancient ruins,"(scientist:1.25) in ancient ruins, Anime style, majestic scale, sharp focus, intricate textures, hyper detailed"
a cyberpunk girl in stellar nebula,"(cyberpunk girl:1.25) in stellar nebula, Vaporwave style, majestic scale, 8k resolution, ray traced"
a monk in underwater city,"(monk:1.25) in underwater city, Renaissance style, volumetric lighting, 8k resolution, majestic scale"
a nomad in desert oasis,"(nomad:1.25) in desert oasis, Anime style, volumetric lighting, soft bokeh, muted tones, ray traced, sharp focus"
a knight in mountain temple,"(knight:1.25) in mountain temple, Photoreal style, dramatic shadows, volumetric lighting, unreal engine 5, masterpiece quality, octane render"
a samurai in floating island,"(samurai:1.25) in floating island, Vaporwave style, dramatic shadows, 8k resolution, volumetric lighting, ethereal atmosphere"
a samurai in desert oasis,"(samurai:1.25) in desert oasis, Cyberpunk style, intricate textures, volumetric lighting, masterpiece quality, dramatic shadows"
a nomad in volcano,"(nomad:1.25) in volcano, Vaporwave style, muted tones, dramatic shadows, 8k resolution, vibrant colors, soft bokeh"
a robot in neon city,"(robot:1.25) in neon city, Impressionist style, 8k resolution, ray traced, volumetric lighting, intricate textures, octane render"
a queen in frozen tundra,"(queen:1.25) in frozen tundra, Steampunk style, 8k resolution, muted tones, masterpiece quality"
a monk in underwater city,"(monk:1.25) in underwater city, Dark Fantasy style, intricate textures, sharp focus, soft bokeh, hyper detailed, muted tones"
a nomad in volcano,"(nomad:1.25) in volcano, Steampunk style, vibrant colors, ray traced, ethereal atmosphere"
a explorer in underwater city,"(explorer:1.25) in underwater city, Renaissance style, masterpiece quality, vibrant colors, 8k resolution, muted tones, soft bokeh"
a knight in desert oasis,"(knight:1.25) in desert oasis, Steampunk style, 8k resolution, sharp focus, octane render"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Vaporwave style, hyper detailed, 8k resolution, volumetric lighting, ray traced"
a scientist in floating island,"(scientist:1.25) in floating island, Minimalist style, majestic scale, ray traced, dramatic shadows"
a wizard in underwater city,"(wizard:1.25) in underwater city, Vaporwave style, majestic scale, 8k resolution, ethereal atmosphere, volumetric lighting"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Cyberpunk style, muted tones, unreal engine 5, dramatic shadows, volumetric lighting"
a mechanic in mars base,"(mechanic:1.25) in mars base, Cinematic style, ray traced, masterpiece quality, 8k resolution"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Cinematic style, masterpiece quality, muted tones, ray traced"
a scientist in medieval village,"(scientist:1.25) in medieval village, Photoreal style, hyper detailed, muted tones, dramatic shadows"
a wizard in dreamscape,"(wizard:1.25) in dreamscape, Impressionist style, volumetric lighting, octane render, vibrant colors, masterpiece quality"
a goddess in medieval village,"(goddess:1.25) in medieval village, Anime style, ethereal atmosphere, ray traced, vibrant colors"
a astronaut in deep forest,"(astronaut:1.25) in deep forest, Impressionist style, vibrant colors, ray traced, sharp focus, volumetric lighting"
a cat in mountain temple,"(cat:1.25) in mountain temple, Cyberpunk style, soft bokeh, octane render, ethereal atmosphere, vibrant colors, dramatic shadows"
a demon in space station,"(demon:1.25) in space station, Impressionist style, sharp focus, unreal engine 5, 8k resolution, ethereal atmosphere"
a astronaut in mars base,"(astronaut:1.25) in mars base, Cinematic style, sharp focus, ray traced, soft bokeh"
a astronaut in underwater city,"(astronaut:1.25) in underwater city, Photoreal style, volumetric lighting, ethereal atmosphere, 8k resolution, ray traced"
a cyberpunk girl in floating island,"(cyberpunk girl:1.25) in floating island, Anime style, volumetric lighting, majestic scale, sharp focus"
a old man in dreamscape,"(old man:1.25) in dreamscape, Minimalist style, intricate textures, ethereal atmosphere, hyper detailed, masterpiece quality"
a goddess in mars base,"(goddess:1.25) in mars base, Vaporwave style, majestic scale, unreal engine 5, volumetric lighting, vibrant colors"
a mechanic in stellar nebula,"(mechanic:1.25) in stellar nebula, Photoreal style, masterpiece quality, ray traced, ethereal atmosphere"
a old man in volcano,"(old man:1.25) in volcano, Dark Fantasy style, sharp focus, masterpiece quality, ray traced"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Steampunk style, ethereal atmosphere, hyper detailed, muted tones, volumetric lighting, octane render"
a astronaut in dreamscape,"(astronaut:1.25) in dreamscape, Minimalist style, volumetric lighting, sharp focus, muted tones, intricate textures"
a knight in ancient ruins,"(knight:1.25) in ancient ruins, Cinematic style, vibrant colors, unreal engine 5, dramatic shadows, soft bokeh"
a old man in volcano,"(old man:1.25) in volcano, Cinematic style, volumetric lighting, 8k resolution, vibrant colors"
a monk in neon city,"(monk:1.25) in neon city, Dark Fantasy style, ethereal atmosphere, ray traced, sharp focus, 8k resolution, dramatic shadows"
